62	1
62	2
62	4
62	5
62	9
62	10
62	11
62	15
62	18
62	19
62	20
62	22
45	2
45	4
45	5
45	9
45	10
45	11
45	12
45	18
45	19
45	20
46	9
46	10
46	11
46	18
46	20
40	1
53	2
53	4
53	11
53	12
53	14
53	15
53	16
53	17
53	19
53	20
43	2
43	4
43	9
43	10
43	11
43	12
66	10
66	12
68	1
68	2
68	4
68	5
68	9
68	10
68	11
68	12
68	14
68	15
68	16
68	18
68	19
68	20
68	22
68	25
68	26
68	27
67	11
35	2
35	9
35	11
35	18
78	2
78	10
78	11
78	12
78	14
78	16
78	18
78	19
78	22
78	23
78	24
33	4
33	11
33	18
33	19
76	10
76	11
76	13
76	14
76	16
76	18
74	2
74	3
74	4
74	11
74	13
74	15
74	16
74	18
74	20
74	22
74	25
74	27
74	61
74	34
74	37
74	58
74	75
74	79
48	1
48	2
48	3
48	4
48	11
48	14
48	15
48	18
48	20
48	22
70	1
70	2
70	4
70	5
70	10
70	11
70	12
70	16
70	18
70	20
70	22
38	4
38	5
38	11
38	18
71	2
71	4
71	10
71	11
71	12
71	15
71	16
71	18
71	20
28	4
28	11
28	12
28	18
28	20
30	2
30	3
30	4
30	5
30	14
30	18
30	20
30	22
41	12
41	20
54	5
54	11
54	12
54	18
63	5
63	11
63	18
55	3
55	4
55	6
55	8
55	9
55	10
55	11
55	12
55	14
55	16
55	18
55	20
55	22
77	1
77	4
77	5
77	10
77	11
77	12
77	16
77	18
77	22
77	24
57	1
57	2
57	4
57	5
57	6
57	7
57	8
57	9
57	10
57	11
57	12
57	13
57	14
57	15
57	16
57	17
57	18
57	19
57	20
57	21
57	22
57	25
51	9
51	16
51	37
51	36
65	2
65	5
65	6
65	8
65	9
65	10
65	11
65	12
65	14
65	15
65	16
65	17
65	18
65	20
65	22
65	25
31	2
31	4
31	5
31	10
31	11
31	13
31	18
50	3
50	4
50	10
50	11
50	12
50	16
50	18
50	20
29	2
29	11
29	12
29	18
29	19
60	2
60	4
60	5
60	11
60	20
60	22
69	2
69	5
69	10
69	11
69	12
69	17
69	22
47	2
47	4
47	5
47	10
47	11
47	16
47	17
47	18
47	19
47	22
44	4
44	10
44	64
42	5
72	1
72	2
72	4
72	5
72	10
72	11
72	12
72	14
72	18
72	20
72	22
73	2
73	5
73	10
73	11
73	15
73	16
73	19
73	22
59	3
59	4
59	5
59	10
59	11
59	12
59	14
59	15
59	16
59	18
59	19
59	20
59	22
32	9
49	1
49	2
49	9
49	10
49	11
49	12
49	17
49	18
52	2
52	4
52	5
52	8
52	11
52	12
52	18
52	20
52	22
80	3
80	4
80	5
80	9
80	10
80	11
80	12
80	14
80	15
80	16
80	17
80	18
80	20
80	22
56	2
56	4
56	5
56	10
56	11
56	12
56	14
56	20
39	1
39	2
39	4
39	5
39	8
39	9
39	10
39	11
39	12
39	13
39	14
39	15
39	16
39	18
39	19
39	20
39	21
39	22
39	25
