40	57
5	15
8	15
12	19
7	19
13	20
14	16
14	28
33	4
33	6
11	19
32	6
17	44
31	57
29	58
56	22
56	24
56	26
56	10
41	22
41	24
41	26
41	10
42	22
42	24
42	25
42	10
65	44
65	37
46	36
46	22
46	24
46	25
46	10
51	36
51	47
51	18
51	22
51	24
55	44
39	22
39	23
39	27
39	9
64	22
63	24
62	43
48	19
48	21
48	23
52	18
52	22
52	23
49	45
49	19
49	22
49	24
35	44
59	36
60	36
60	18
60	22
60	24
60	26
60	10
38	26
38	9
50	22
50	23
53	22
53	23
53	26
53	9
61	47
61	22
61	24
34	36
34	47
34	22
34	24
34	26
34	10
3	36
3	47
3	28
2	44
1	44
1	36
67	4
67	6
66	4
66	6
66	22
66	24
66	26
66	10
68	22
68	24
68	26
68	10
30	54
